Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
27;14033;"Psychology of Sport and Exercise";journal;"14690292";"Elsevier B.V.";No;No;1,150;Q1;133;155;517;8979;1946;504;3,46;57,93;42,90;2;Netherlands;Western Europe;"Elsevier B.V.";"2000-2026";"Sports Science (Q1); Applied Psychology (Q2)";"Health Professions; Psychology"
28;19871;"Journal of Athletic Training";journal;"10626050, 1938162X";"National Athletic Trainers' Association Inc.";Yes;No;1,141;Q1;146;125;434;4477;1206;418;2,29;35,82;48,13;4;United States;Northern America;"National Athletic Trainers' Association Inc.";"1996-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
29;19889;"Journal of Strength and Conditioning Research";journal;"10648011, 15334287";"NSCA National Strength and Conditioning Association";Yes;No;1,141;Q1;185;364;1448;15246;4456;1437;2,72;41,88;20,53;0;United States;Northern America;"NSCA National Strength and Conditioning Association";"1987-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
30;5800228211;"European Physical Education Review";journal;"1356336X, 17412749";"SAGE Publications Ltd";No;No;1,136;Q1;63;34;173;1910;610;172;3,10;56,18;36,44;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
31;21090;"Journal of Sports Sciences";journal;"1466447X, 02640414";"Routledge";No;No;1,115;Q1;181;217;900;10382;2991;883;2,72;47,84;27,49;1;United Kingdom;Western Europe;"Routledge";"1983-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
32;16270;"Archives of Physical Medicine and Rehabilitation";journal;"1532821X, 00039993";"W.B. Saunders";No;No;1,091;Q2;235;269;893;10764;2885;737;3,02;40,01;51,37;30;United States;Northern America;"W.B. Saunders";"1945-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
33;5800207375;"European Journal of Sport Science";journal;"17461391, 15367290";"John Wiley and Sons Inc";Yes;No;1,078;Q2;94;245;518;9270;1825;516;3,54;37,84;26,47;3;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2001-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
34;20934;"Sport, Education and Society";journal;"14701243, 13573322";"Routledge";No;No;1,064;Q2;90;80;239;4318;748;232;2,87;53,98;48,69;3;United Kingdom;Western Europe;"Routledge";"1996-2026";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
35;19870;"Journal of Applied Sport Psychology";journal;"10413200, 15331571";"Taylor and Francis Ltd.";No;No;1,059;Q2;99;51;137;2960;525;125;3,68;58,04;45,06;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2026";"Applied Psychology (Q2); Sports Science (Q2)";"Health Professions; Psychology"
36;23454;"Journal of Applied Physiology";journal;"87507587, 15221601";"American Physiological Society";No;No;1,042;Q2;276;313;1064;12232;2977;918;2,76;39,08;32,76;13;United States;Northern America;"American Physiological Society";"1948-1976, 1985-2026";"Medicine (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q2); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
