id,exclude,data_statement,data_available,data_link,code_statement,code_available,code_link,spss,stata,jamovi,jasp,r,python,prism,excel,sas,lisrel,matlab,statistica,winbugs,bioestat,stan,pspp,medcalc,other
10.108014763141.2021.2015427.pdf,,none,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2021.2019303.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.108014763141.2022.2046144.pdf,,none,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2022.2060853.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2022.2080104.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2022.2086169.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2022.2109504.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.108014763141.2022.2117642.pdf,,none,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,
10.108014763141.2022.2126326.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.108014763141.2022.2129089.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2022.2133740.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,octave
10.108014763141.2024.2301995.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2024.2315245.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2024.2372608.pdf,,none,,,none,TRUE,https://github.com/adrianrivadulla/clustering_runners,,,,,,TRUE,,,,,,,,,,,,
10.108014763141.2025.2451689.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.108014763141.2025.2458475.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.108014763141.2025.2480094.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.1108IJSMS-03-2026-0193.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,smart-pls
10.1108IJSMS-04-2017-0030.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.1108IJSMS-06-2017-0050.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,smart-pls
10.1108IJSMS-06-2020-0116.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1108IJSMS-06-2021-0123.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,mplus
10.1108IJSMS-06-2025-0283.pdf,,none,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,mplus
10.1108IJSMS-07-2020-0120.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1108IJSMS-09-2017-0103.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1108IJSMS-09-2018-0093.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1108IJSMS-09-2020-0162.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.1108IJSMS-11-2020-0208.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,winsteps
10.1108IJSMS-12-2020-0232.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,smart-pls
10.11771527002517696958.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117715270025221148997.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117715270025231156058.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117715270025231187880.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117715270025241239631.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.117715270025241260030.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117715270025261434474.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.11771747954117716790.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.11771747954117721268.pdf,,none,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,
10.11771747954117727686.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.11771747954118787494.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.11771747954119853104.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.11771747954120952574.pdf,,none,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,
10.117717479541211009083.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541211027428.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541211033471.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541211066393.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541221074992.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,SocNetV
10.117717479541221099638.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541221113024.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541221119390.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541221130443.pdf,,none,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,
10.117717479541221140066.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541231155108.pdf,,withinarticle,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541231171695.pdf,,none,,,,,,,,,,TRUE,,,,,,,,,,,,,
10.117717479541231181616.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,GESQ; THEME
10.117717479541231208009.pdf,,none,,,,,,,,TRUE,,,,,,,,,,,,,,,
10.117717479541231208917.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
10.117717479541241243180.pdf,,none,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,
10.117717479541241249814.pdf,,none,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,
10.117717479541241301382.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541251317043.pdf,,repo,FALSE,https://eprints.worc.ac.uk/id/eprint/14170,none,FALSE,,,,,,TRUE,,,TRUE,,,,,,,,,,
10.117717479541251319477.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541251320534.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541251342721.pdf,,none,,,,,,,,,TRUE,,,,,,,,,,,,,,
10.117717479541251352099.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541251362987.pdf,,supplement,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,
10.117717479541251366906.pdf,,repo,TRUE,https://osf.io/6sm37/,repo,TRUE,https://osf.io/6sm37/,,,,,TRUE,,,,,,,,,,,,,
10.117717479541251368751.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541251406508.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541251411829.pdf,,repo,TRUE,doi.org/10.6084/m9.figshare.30883916,none,,,TRUE,,,,,,,,,,,,,,,,,THEME
10.117717479541261457430.pdf,,onrequest,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541261474870.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.117717479541261475277.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.117717479541261475500.pdf,,repo,TRUE,https://figshare.com/s/aa7cc5b7910e92e3baf2,repo,TRUE,https://figshare.com/s/aa7cc5b7910e92e3baf2,,,,,TRUE,,,,,,,,,,,,,
10.1515hukin-2017-0046.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1515hukin-2017-0071.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1515hukin-2017-0144.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.1515hukin-2017-0174.pdf,,none,,,,,,,,,,,,,,,,TRUE,,,,,,,
10.1515hukin-2017-0191.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,THEME
10.1519SSC.0000000000000420.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000430.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000465.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000476.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000479.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000719.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000794.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000808.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.1519SSC.0000000000000842.pdf,TRUE,none,,,,,,,,,,,,,,,,,,,,,,,
10.2478hukin-2019-0002.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.2478hukin-2019-0032.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.2478hukin-2019-0115.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
10.2478hukin-2020-0017.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
10.2478hukin-2020-0023.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
10.2478hukin-2021-0040.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.2478hukin-2021-0108.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.2478hukin-2022-0039.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.5114jhk159605.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
10.5114jhk183543.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.5114jhk186341.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.5114jhk189425.pdf,,none,,,,,,,,TRUE,,,,,,,,,,,,,,,
10.5114jhk202929.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.5114jhk205466.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.5114jhk222302.pdf,,none,,,,,,,,TRUE,,,,,,,,,,,,,,,
10.52082jssm.2022.104.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2022.171.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2023.235.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2023.28.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2023.436.pdf,,withinstudy,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2023.760.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2025.626.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2026.195.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
10.52082jssm.2026.691.pdf,,onrequest,,,,,,TRUE,,,,,,,,,,,,,,,,,
Casamichana2018.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
Gómez-Molina2017.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
Inglis2017.pdf,,none,,,,,,,,,,,,,,,,,,,,,,,
Ortiz2018.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
Popowczak2019.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
Tokutake2018.pdf,,none,,,,,,TRUE,,,,,,,,,,,,,,,,,
Uzelac-Sciran2020.pdf,,none,,,,,,,,,,,,,,,,,TRUE,,,,,,
