"","authors","title","doi","journal","year"
"3731","Sim, Min Kyu; Choi, Dong Gu","The Winning Probability of a Game and the Importance of Points in Tennis Matches","10.1080/02701367.2019.1666203","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2020
"6425","Hogberg, Johan; Bergentoft, Emma; Piussi, Ramana; Wernbom, Mathias; Beischer, Susanne; Simonson, Rebecca; Senorski, Carl; Thomee, Roland; Senorski, Eric Hamrin","Persistent knee flexor strength deficits identified through the NordBord eccentric test not seen with ""gold standard"" isokinetic concentric testing during the first year after anterior cruciate ligament reconstruction with a hamstring tendon autograft","10.1016/j.ptsp.2022.03.004","PHYSICAL THERAPY IN SPORT",2022
"7596","Roetert, E. Paul; Ortega, Catherine","Physical Literacy for the Older Adult","10.1519/SSC.0000000000000430","STRENGTH AND CONDITIONING JOURNAL",2019
"7606","Julio, Ursula F.; Panissa, Valeria L. G.; Cury, Rubiana L.; Agostinho, Marcus F.; Esteves, Joao V. D. C.; Franchini, Emerson","Energy System Contributions in Upper and Lower Body Wingate Tests in Highly Trained Athletes","10.1080/02701367.2019.1576839","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2019
"6889","Paek, Bomin; Morse, Alan; Kim, Minjung; Jung, Hoyoon","Sport consumer flow and shopping well-being in online shopping","10.1108/IJSMS-06-2020-0116","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2021
"7047","Krzysztofik, Michal; Wilk, Michal","The Effects of Plyometric Conditioning on Post-Activation Bench Press Performance","10.2478/hukin-2020-0017","JOURNAL OF HUMAN KINETICS",2020
"3397","Komissarov, Serguei S.","Dynamics of carving runs in alpine skiing. II.Centrifugal pendulum with a retractable leg","10.1080/14763141.2020.1788630","SPORTS BIOMECHANICS",2022
"1953","McQuilliam, Stephen J.; Clark, David R.; Erskine, Robert M.; Brownlee, Thomas E.","Physical testing and strength and conditioning practices differ between coaches working in academy and first team soccer","10.1177/17479541231155108","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"1521","Keating, Christopher James; Hester, Rials J.; Thorsen, Tanner A.","High cadence cycling not high work rate, increases gait velocity post-exercise","10.1080/14763141.2024.2315245","SPORTS BIOMECHANICS",2025
"6204","Dupre, Thomas; Potthast, Wolfgang","Are sprint accelerations related to groin injuries? A biomechanical analysis of adolescent soccer players","10.1080/14763141.2022.2133740","SPORTS BIOMECHANICS",2022
"6302","Burke, Aoife; Dillon, Sarah; O'Connor, Siobhan; Whyte, Enda F.; Gore, Shane; Moran, Kieran A.","Relative and absolute reliability of shank and sacral running impact accelerations over a short- and long-term time frame","10.1080/14763141.2022.2086169","SPORTS BIOMECHANICS",2022
"5363","Lindskog, Jakob; Liaghat, Behnam; Senorski, Rebecca Hamrin; Samuelsson, Kristian; Thomee, Roland; Senorski, Eric Hamrin","Strength recovery trajectories in young adults with and without generalized joint hypermobility during the first two years after anterior cruciate ligament reconstruction: a registry study","10.1016/j.ptsp.2025.11.007","PHYSICAL THERAPY IN SPORT",2026
"7042","Grgic, Jozo; Venier, Sandro; Schoenfeld, Brad J.; Mikulic, Pavle","Caffeine Ingestion Enhances Repetition Velocity in Resistance Exercise: A Randomized, Crossover, Double-Blind Study Involving Control and Placebo Conditions","10.2478/hukin-2020-0023","JOURNAL OF HUMAN KINETICS",2020
"6808","Kerivel, Thibault; Bossard, Cyril; Kermarrec, Gilles","Applying the Input-Process-Outcome Model to Team Learning in Sport Sciences: An Exploratory Qualitative Study on Twenty Soccer Players","10.2478/hukin-2021-0040","JOURNAL OF HUMAN KINETICS",2021
"2296","Alcantara, Chellsea Hortencio; Machado, Joao Claudio; Teixeira, Rodrigo Mendonca; Rossato, Mateus; Teixeira, Anderson Santiago; da Silva, Juliano Fernandes","What Factors Discriminate Young Soccer Players Perceived as Promising and Less Promising by Their Coaches?","10.1080/02701367.2022.2088675","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"857","Manci, Egemen; Ozdalyan, Firat; Gebel, Arnd; Guducu, Cagdas; Gunay, Erkan; Jenny, Seth E.; Mueller, Notger G.; Herold, Fabian","Listen to the coaches: Practitioners' perspective on the relevance of selected cognitive skills and assessments for esports performance","10.1177/17479541251342721","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"5024","Wu, Shuyuan; Zhang, Guojie; Shi, Yan; Zhan, Genghao; Zhang, Huaxing; Wang, Xiangyu; Wu, Hao","Anti-movement core training modulates abdominal antagonist co-activation and enhances trunk rotational kinematics in amateur golfers","10.1080/14763141.2026.2712637","SPORTS BIOMECHANICS",2026
"6989","Kang, Tae-Ahn; Matsuoka, Hirotaka","The effect of sponsorship purpose articulation on fit: moderating role of mission overlap","10.1108/IJSMS-07-2020-0120","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2021
"1803","Perri, Thomas; Duffield, Rob; Murphy, Alistair; Mabon, Tom; McGillivray, Isabel; Reid, Machar","Macro periodisation of competition in international women's tennis: Insights for long-term athlete development","10.1177/17479541231171695","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"6315","Li, Xiayuan; Xia, Zhengliang; Liu, Feiliang; Guo, Jinzhong; Wu, Xie; Liu, Yu","Factor analysis of the biomechanical parameters of pole vault run-up and takeoff: exploring sports performance","10.1080/14763141.2022.2080104","SPORTS BIOMECHANICS",2024
"4326","Bradbury, John Charles; Pitts, Joshua D.","Full Cost-of-Attendance Scholarships and College Choice: Evidence From NCAA Football","10.1177/1527002517696958","JOURNAL OF SPORTS ECONOMICS",2018
"2149","Boroojerdi, M. Hashem; Rahimi, A.; Roostayi, M. M.; Moghaddam, S. Talebian; Yousefi, M.; Norouzi, M.; Baghban, A. Akbarzadeh","The occurrence of flexion-relaxation phenomenon in elite cyclists during trunk forward bending","10.1080/14763141.2022.2126326","SPORTS BIOMECHANICS",2022
"4","Tugran, Melike; Sekir, Ufuk; Hasanoglu, Muge; Gur, Hakan; Akova, Bedrettin","The Acute Effects of Blood Flow Restriction on Ankle Muscle Reaction Time and Proprioception in Healthy Individuals","10.52082/jssm.2026.691","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2026
"7567","Knudson, Duane","Citation metrics of excellence in sports biomechanics research","10.1080/14763141.2017.1391328","SPORTS BIOMECHANICS",2019
"6588","Clark, Kenneth P.; Ryan, Laurence J.; Meng, Christopher R.; Stearne, David J.","Evaluation of maximum thigh angular acceleration during the swing phase of steady-speed running","10.1080/14763141.2021.1986124","SPORTS BIOMECHANICS",2024
"2265","Peebles, Alexander T.; Miller, Thomas K.; Savla, Jyoti; Ollendick, Thomas; Messier, Stephen P.; Queen, Robin M.","Reduction of risk factors for ACL Re-injuries using an innovative biofeedback approach: A phase I randomized clinical trial","10.1016/j.ptsp.2022.07.007","PHYSICAL THERAPY IN SPORT",2022
"6100","Watanabe, Nicholas M.; Soebbing, Brian P.; Chahardovali, Tarlan; Huang, Yinle","The Emergence of Mixed Martial-Arts and the Future of Boxing: An Analysis of Consumer Interest and Compensation","10.1177/15270025231156058","JOURNAL OF SPORTS ECONOMICS",2025
"7645","Lupinek, Joshua M.","Tracing the ABC's of brand community","10.1108/IJSMS-09-2017-0103","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2019
"4579","Lagestad, Pal; Mehus, Ingar","The Importance of Adolescents' Participation in Organized Sport According to VO<sub>2</sub>peak: A Longitudinal Study","10.1080/02701367.2018.1448050","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2018
"6420","Teoldo da Costa, Israel; de Freitas Silvino, Marcos Paulo","Analysis of tactical behavior in full- and small-sided games: Comparing professional and youth academy athletes to enhance player development in soccer","10.1177/17479541221074992","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"721","Jerez-Martinez, Agustin; Romero-Arenas, Salvador","Impact of Hypertrophy-Focused Resistance Training on Mitochondrial Capacity: A New Perspective Through Near-Infrared Spectroscopy","10.1080/02701367.2025.2542816","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2026
"7930","Sarac, Nikolas; Sarac, Benjamin; Pedroza, Angela; Borchers, James","Epidemiology of mental health conditions in incoming division I collegiate athletes","10.1080/00913847.2018.1427412","PHYSICIAN AND SPORTSMEDICINE",2018
"7475","Kim, Inwoo; Lee, Keunchul; Kang, Sangwook","The relationship between passion for coaching and the coaches' interpersonal behaviors: The mediating role of coaches' perception of the relationship quality with athletes","10.1177/1747954119853104","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2019
"2231","Abad, Cesar Cavinato Cal; Carmo, Everton Crivoi; Do Prado, Danilo Marcelo Leite; Reis, Valter; Pereira, Lucas; Loturco, Irineu; Koehle, Michael","Using Physiological Laboratory Tests and Neuromuscular Functions to Predict Extreme Ultratriathlon Performance","10.1080/02701367.2022.2094307","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"4256","Halbrook, Meghan; Watson, Jack C., II","High school coaches' perceptions of their efficacy to work with lesbian, gay, and bisexual athletes","10.1177/1747954118787494","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2018
"7273","Cho, Inje; Kim, Minseong; Kaplanidou, Kiki","The role of title sponsor's philanthropy and team authenticity on fan identity and citizenship behaviors","10.1108/IJSMS-09-2018-0093","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2020
"5961","Silva, Nuno; Travassos, Bruno; Goncalves, Bruno; Brito, Joao; Nakamura, Fabio; Abade, Eduardo","Effects of warm-up duration on acute physical performance in highly trained male futsal players","10.1177/17479541231208009","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"8073","Gomez-Molina, Josue; Ogueta-Alday, Ana; Camara, Jesus; Stickley, Christoper; Rodriguez-Marroyo, Jose A.; Garcia-Lopez, Juan","Predictive Variables of Half-Marathon Performance for Male Runners",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2017
"6157","Turner, Mitchell; Beranek, Philipp; Sahrom, Sofyan; Lo, Johnny; Ferrauti, Alexander; Dunican, Ian C.; Cruickshank, Travis","The impact of sleep behaviours, chronotype and time of match on the internal and external outcomes of a tennis match","10.1177/17479541221130443","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2023
"7290","O'Connor, Siobhan; Whyte, Enda; Fortington, Lauren","Are Irish Gaelic Athletic Association clubs prepared to use an AED following a sudden cardiac arrest? A cross-sectional survey","10.1080/00913847.2019.1704666","PHYSICIAN AND SPORTSMEDICINE",2020
"500","Prieto-Lage, Ivan; Crespo, Miguel; Martinez-Gallego, Rafael; Reguera-Lopez-de-la-Osa, Xoana; Silva-Pinto, Antonio Jose; Gutierrez-Santiago, Alfonso","Serve dynamics and tactical trends in elite U-14 girls' tennis: A case study from the Les Petits as tournament","10.1177/17479541251411829","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2026
"3811","Clark, Nicholas C.; Reilly, Lee J.; Davies, Stephanie C.","Intra-rater reliability, measurement precision, and inter-test correlations of 1RM single-leg leg-press, knee-flexion, and knee-extension in uninjured adult agility-sport athletes: Considerations for right and left unilateral measurements in knee injury control","10.1016/j.ptsp.2019.09.003","PHYSICAL THERAPY IN SPORT",2019
"2925","Brown, Cathleen N.; Samson, Christine O.; Hsieh, Katherine L.","Hysteresis and stiffness of the lateral ankle complex in those with chronic ankle instability","10.1080/14763141.2021.1925335","SPORTS BIOMECHANICS",2022
"1333","Rivadulla, Adrian R.; Chen, Xi; Cazzola, Dario; Trewartha, Grant; Preatoni, Ezio","Clustering analysis across different speeds reveals two distinct running techniques with no differences in running economy","10.1080/14763141.2024.2372608","SPORTS BIOMECHANICS",2026
"4143","Popowczak, Marek; Rokita, Andrzej; Swierzko, Kamil; Szczepan, Stefan; Michalski, Ryszard; Mackala, Krzysztof","Are Linear Speed and Jumping Ability Determinants of Change of Direction Movements in Young Male Soccer Players?",NA,"JOURNAL OF SPORTS SCIENCE AND MEDICINE",2019
"135","Padovan, Riccardo; Toninelli, Nicholas; Longo, Stefano; Tornatore, Gianpaolo; Esposito, Fabio; Ce, Emiliano; Coratella, Giuseppe","High-Density Surface Electromyography Excitation in Front vs. Sack Overhead Press Prime Movers","10.5114/jhk/205466","JOURNAL OF HUMAN KINETICS",2026
"2599","O'Meagher, Reilly; O'Reilly, John; Ali, Ajmol","The effect of different playing surfaces on soccer skill performance","10.1177/17479541211066393","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2022
"6616","Sasaki, Shogo; Nagano, Yasuharu; Suganuma, Yusaku; Koyama, Takeshi; Ichikawa, Hiroshi","Acceleration profile of high-impact movements during young football games: a cross-sectional study involving healthy children","10.1080/14763141.2021.1970796","SPORTS BIOMECHANICS",2024
"1442","Dane, Kathryn; West, Stephen W.; Hendricks, Sharief; Stodter, Anna; Yeomans, Caithriona; van Dyk, Nicol; Griffin, Steffan; Wilson, Fiona","A global survey exploring tackle training knowledge, attitudes and practices of women's rugby union coaches","10.1177/17479541241243180","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"5344","Chang, Kun; Lee, Hyun-Woo; Yu, Bo","In-game virtual goods consumption in esports: an extended cognition-affect-conation model linking age to purchase intention across FPS and MOBA genres","10.1108/IJSMS-06-2025-0283","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2025
"6416","Teng, Xianzhong; Bao, Zheshi","Factors affecting users' stickiness of fitness apps: an empirical study based on the S-O-R perspective","10.1108/IJSMS-06-2021-0123","INTERNATIONAL JOURNAL OF SPORTS MARKETING & SPONSORSHIP",2022
"702","Chiang, Yi-Chien; Chiang, Chieh-Ying; Suchomel, Timothy J.","Differences in Mechanical Output between One Repetition Maximum- and Body Mass-Based Load Determination in The Behind-Neck Push Jerk","10.52082/jssm.2025.626","JOURNAL OF SPORTS SCIENCE AND MEDICINE",2025
"4732","Kim, Jinhee; Youm, Changhong; Son, Minji; Lee, Myeounggon; Kim, Youkyung","Golf club characteristics and vertical force distribution associated with pitch and lob shots of different carry distances","10.1177/1747954117721268","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2017
"3855","Van Alsenoy, Ken; Thomson, Athol; Burnett, Angus","Reliability and validity of the Zebris FDM-THQ instrumented treadmill during running trials","10.1080/14763141.2018.1452966","SPORTS BIOMECHANICS",2019
"1044","Nikolic, Milos; Milanovic, Zoran; Sansone, Pierpaolo; Paulauskas, Henrikas; Kamarauskas, Paulius; Conte, Daniele","Investigating the Effect of Playing Different Defensive Styles and Court Sizes on Physical, Perceived, and Technical Demands in Basketball Small-Sided Games","10.5114/jhk/202929","JOURNAL OF HUMAN KINETICS",2025
"3017","Thng, Shiqi; Pearson, Simon; Mitchell, Lachlan J. G.; Meulenbroek, Clare; Keogh, Justin W. L.","On-block mechanistic determinants of start performance in high performance swimmers","10.1080/14763141.2021.1887342","SPORTS BIOMECHANICS",2024
"5908","Hanley, Brian; Thomas, Aaron L.; Tucker, Catherine B.","Kinematic and spatiotemporal differences between footstrike patterns in elite male and female 10,000 m runners in competition","10.1080/14763141.2024.2301995","SPORTS BIOMECHANICS",2025
"3894","Namazi, Parisa; Zarei, Mostafa; Hovanloo, Fariborz; Abbasi, Hamed","The association between the isokinetic muscle strength and lower extremity injuries in young male football players","10.1016/j.ptsp.2019.06.013","PHYSICAL THERAPY IN SPORT",2019
"4612","Machado, Felipe; Debieux, Pedro; Kaleka, Camila Cohen; Astur, Diego; Peccin, Maria Stella; Cohen, Moises","Knee isokinetic performance following anterior cruciate ligament reconstruction: patellar tendon versus hamstrings graft","10.1080/00913847.2018.1418592","PHYSICIAN AND SPORTSMEDICINE",2018
"4687","Yang, Jonghyun; Park, Youngsoo; Kim, Kitae; Ryu, Je-Kwang","Goalkeeper's position for defending short range shots","10.1177/1747954117727686","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2017
"7914","Slone, Harris S.; Buckner, Jeannie F.; Hewson, Kirstie; Barr, Michael J.; Crawford, Thomas; Woolf, Shane K.","Economic impact of outreach athletic trainers on a health system: implications for program growth and sustainability","10.1080/00913847.2018.1502570","PHYSICIAN AND SPORTSMEDICINE",2018
"2096","Villafaina, Santos; Fuentes-Garcia, Juan Pedro; Fernandes, Orlando; Munoz, Diego; Batalha, Nuno; Parraca, Jose A.","The impact of winning or losing a padel match on heart rate variability","10.1177/17479541221140066","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2024
"5062","Asian-Clemente, Jose Antonio; Requena, Bernardo; Beltran-Garrido, Jose Vicente; Zmijewski, Piotr","The Impact of Field Size on Positional and Possession Games: Variations in Physical Demands across Player Positions in Soccer Training","10.5114/jhk/222302","JOURNAL OF HUMAN KINETICS",2026
"4567","Ludyga, Sebastian; Gerber, Markus; Brand, Serge; Puhse, Uwe; Colledge, Flora","Effects of Aerobic Exercise on Cognitive Performance Among Young Adults in a Higher Education Setting","10.1080/02701367.2018.1438575","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2018
"7898","Brusseau, Timothy A.; Burns, Ryan D.","Physical Activity, Health-Related Fitness, and Classroom Behavior in Children: A Discriminant Function Analysis","10.1080/02701367.2018.1519521","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2018
"3058","Ly, Kien; Michaud, Lucas; Lajoie, Yves","The effects of Kinesiology Tape on static postural control in individuals with functional ankle instability","10.1016/j.ptsp.2021.01.003","PHYSICAL THERAPY IN SPORT",2021
"1147","Ghorbel, Ahmed; Trabelsi, Omar; Yaakoubi, Mohamed; Souissi, Mohamed Abdelkader; Gharbi, Adnene","Flipped classroom approach for gymnastics learning in physical education: A quasi-experimental study","10.1177/17479541241301382","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"5675","Oliveira, Gabriel dos Santos; Gasparin, Gabriela Bissani; Capaverde, Vinicius de Borba; Ribas, Leticia Oscar; Alvares, Joao Breno Araujo Ribeiro; Baroni, Bruno Manfredini","Monitoring hip adductor strength in professional women's football players over a season: A prospective study","10.1016/j.ptsp.2024.10.005","PHYSICAL THERAPY IN SPORT",2024
"2383","Wilke, Jan; Tenberg, Sarah; Groneberg, David","Prognostic factors of muscle injury in elite football players: A media-based, retrospective 5-year analysis","10.1016/j.ptsp.2022.05.009","PHYSICAL THERAPY IN SPORT",2022
"4166","Mills, Blair S.; McMaster, Daniel T.; Smith, Brett","Strength Training Recommendations to Improve Scrum Force and Impulse in Rugby Union Forwards","10.1519/SSC.0000000000000420","STRENGTH AND CONDITIONING JOURNAL",2019
"5592","Francis, John William; Kyte, Jamie Lee; Bateman, Michael; Nicholls, Scott Benjamin","The landscape of validity and reliability practices from applied performance analysts: Establishing a best practice framework","10.1177/17479541251317043","INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING",2025
"1254","Sacramento, Henrique Silva; da Silva, Lucas Chalegre; Papoti, Marcelo; Rossi, Fabricio Eduardo; Gomes, Willemax dos Santos; Costa, Andre dos Santos; Campos, Eduardo Zapaterra","Sodium Nitrate Improves Oxidative Energy Contribution and Reduces Phosphocreatine Contribution During High-Intensity Intermittent Exercise","10.1080/02701367.2024.2396146","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2025
"2251","da Cruz Filho, Edson Gonsales; Moura, Felipe Arruda; Bini, Rodrigo Rico","Foot tracking can be an alternative to determine foot strike and take-off during vertical jumps","10.1080/14763141.2022.2109504","SPORTS BIOMECHANICS",2022
"6422","Vingren, J. L.; Boyett, J. C.; Lee, E. C.; Levitt, D. E.; Luk, H. Y.; McDermott, B. P.; Munoz, C. X.; Ganio, M. S.; Armstrong, L. E.; Hill, D. W.","A Single Dose of Ibuprofen Impacts IL-10 Response to 164-km Road Cycling in the Heat","10.1080/02701367.2021.1981539","RESEARCH QUARTERLY FOR EXERCISE AND SPORT",2023
"952","Rabello, Rodrigo; Desai, Gauri A.; Sforza, Chiarella; Gruber, Allison H.","Running stiffness and spatiotemporal parameters are similar between non-runners and runners with different experience levels","10.1080/14763141.2025.2480094","SPORTS BIOMECHANICS",2025
"1913","Beddows, T. P. A.; Weir, A.; Agricola, R.; Tak, I. J. R.; Piscaer, T. M.; Verhaar, J. A. N.; van Klij, P.","Hip and groin pain in male field hockey players: Prevalence, incidence and associations with patient reported outcome scores and hip muscle strength","10.1016/j.ptsp.2023.02.010","PHYSICAL THERAPY IN SPORT",2023
